Metaphor Sentence,Source File
"En el centro de las Memorias está la figura de Leonor, rodeada de las mujeres de su familia y de la Virgen, en la que depositó su esperanza de recobrar su fortuna y de rehacer su vida",Memorias
"La libertad de decir y la originalidad de esta autora son fruto de la escuela del dolor, de sus talentos y de la educación femenina que recibió en la infancia una infancia pasada entre su madre, sus tres hermanas, las infantas de Castilla y las damas de la corte",Memorias
"Al estar presa entre los ocho y los dieciséis años, no tuvo preceptores que le inculcaran los estereotipos de género femenino propios de su clase y época, ni el que defendían los pedagogos misóginos que enseñaban inferioridad a las niñas, ni tampoco el modelo igualitario que estaban poniendo de moda los humanistas, un modelo que enseñaba a las niñas a parecerse lo más posible a los niños",Memorias
El espejo pasa entonces a reflejarla a ella borrosa o deformada,Memorias
"El mito recoge una verdad conocida, verdad conocida que presenta y transmite en forma de fábula cuando otras formas de transmisión del conocimiento no son capaces de acoger esa verdad",Memorias
"Un ámbito que pretende sustituir la vida con la vida social, inaugurando la percepción de lo político que harán renacer siglos después las mentes más especulativas de las cortes europeas del Humanismo",Memorias
La crónica de Alvar García de Santa María h,Memorias
"El palacio o Casa del Bailío es del siglo XVI tenía contiguo a él el Hospital de incurables de San Jacinto, en el que está hoy la capilla de la Esperanza, en la plaza del Cristo de los Faroles",Memorias
"Se celebraron un total de setenta y cuatro audiencias, unas por la mañana de seis a nueve, otras por las tardes, desde las cuatro hasta el toque de oraciones",Memorias
"En el proceso de formación de su patrimonio destacan las operaciones que le llevaron a la posesión del cortijo de Teba y de las dos Huertas de la Reina, llamadas de Adentro y de Afuera",Memorias
"Un marido que pertenecía, como ella, a la más alta nobleza de Castilla y que era, entre otras cosas, primo carnal de María de padilla, hija de María de Hinestrosa y abuela de la reina Catalina de Lancáster",Memorias
"Había tenido, además, conflictos económicos con su madre",Memorias
"A una criatura humana, la          dificultad de poner libremente en palabras realidad vivida le genera sufrimiento",Memorias
"Se muestra con los delicados síntomas de la histeria que es una manera sabia de convertir el cuerpo en texto a falta de palabras para decir algo vivido que las exige para dejarme en paz o, en casos extremos, con los síntomas de la psicosis",Memorias
"Es así porque la criatura humana es un ser simbólico, un ser que habla, que necesita sentido y lengua materna para seguir viviendo",Memorias
"En cambio, el desplazamiento de barreras de lo simbólico trae felicidad",Memorias
"La trae a la gente en general porque ensancha su mundo, abriendo el respiro y renovando la esperanza",Memorias
"La trae a quien desplaza la barrera porque le da ocasión de poner a disposición de quien lo quiera lo nuevo que ella o él trae al mundo, ya que cada criatura humana que nace trae algo nuevo al mundo común y no se quiere ir de él sin legarlo",Memorias
"El algo nuevo es un legado de sentido, que puede estar hecho de palabras, palabras que, a veces, son relatos, son historia",Memorias
La escritura femenina desplaza barreras de lo simbólico irrumpiendo en ellas con un disparate,Memorias
"Recientemente, Luisa Muraro ha añadido El Dios de las mujeres",Memorias
"Podría decirse que la escritura es femenina cuando el Dios de las mujeres acaece en ella cuando acaece en las relaciones que se dan entre quien escribe, lo real y la capacidad de decir de quien escribe",Memorias
Y nace una invención simbólica,Memorias
"La escritura femenina, al desplazar barreras de lo simbólico, trae al mundo sentido indisponible, sentido hasta entonces no disponible",Memorias
"De la importancia del sentido para la existencia humana tomamos conciencia en el siglo XX, al darnos cuenta de que lo necesitábamos para vivir tanto como el bienestar económico",Memorias
"En otras palabras, el ensayo histórico no expresa ya o no expresa apenas el acaecer del Dios de las mujeres en las relaciones humanas y sociales, relaciones profundamente modificadas por la revolución femenina del siglo XX",Memorias
"Las ideologías rellenan lo que Luisa Muraro ha llamado el centro vacío de cada palabra, es decir, el agujero que, en tiempos o en sitios sin Dios de las mujeres, es la huella que de él o ella queda, un agujero y una huella que, de pronto, se nos hace perceptible cuando alguien dice un disparate, un disparate afortunado",Memorias
"Son ejemplos épocas como el final de la Edad Media con su Guerra de los Cien Años, terminada por Juana de Arco o el siglo XX, terminado con el final del patriarcado",Memorias
"En la distancia que la objetividad impone, se pierde el       vínculo un vínculo que, en la vida, es indisoluble entre lo que acontece y las mujeres u hombres que viven y relatan los acontecimientos",Memorias
"La escritura femenina de la historia explora la vivencia personal femenina o masculina de los acontecimientos junto con su acontecer, sin separaciones",Memorias
Son textos que nos tocan con su realidad puesta finalmente en palabras,Memorias
"Para poner en palabras realidad vivida, las historiadoras han usado mucho a Dios y a lo sobrenatural",Memorias
"Como desconciertan una desventura o una felicidad, sin dejar por ello de ser historia",Memorias
"Un ejemplo son las leyendas fundacionales de bastantes monasterios de clarisas fundados en el siglo XIII, que ha estudiado, entre otras, Núria Jornet Benito",Memorias
"Las Memorias de Leonor López de Córdoba Hay un texto fascinante de la historia de la Castilla de Pedro I, Enrique II, Juan I y Enrique III que expresa lo que es la escritura femenina de la historia",Memorias
"Son las Memorias que dictó en Córdoba a un escribano público de esta ciudad, entre  y mediados de  , Leonor López de Córdoba Calatayud    Córdoba",Memorias
Este texto es la primera autobiografía conocida en lengua castellana,Memorias
"En cambio, la historia social propia del siglo XX perdió el interés por esta breve pero abigarrada obra, en parte por la pertenencia de clase de Leonor la alta nobleza pero sobre todo pienso precisamente por la perplejidad de la historia social ante la escritura femenina",Memorias
"La historia social tuvo el talento de desplazar la atención principal de la historiografía de lo individual los grandes hombres a lo colectivo, con el fin de servir a la concienciación y a la lucha para reducir las enormes desigualdades sociales provocadas por los imperialismos modernos dentro y fuera de Europa",Memorias
"Esto le llevó a tener como principal referente hermenéutico el poder social y las estrategias para obtenerlo o abolirlo por unos, y a conservarlo o aumentarlo por otros",Memorias
"Este es el motivo por el que la parte más interesante de la experiencia humana femenina excede y desborda la historia social, que carece de palabras para decirla",Memorias
Las Memorias de Leonor López de Córdoba testimonian estas tres prácticas,Memorias
"Es esta teología la que es capaz de entender que Leonor López de Córdoba llevara al mercado su absoluta necesidad y su enorme deseo, necesidad y deseo que eran de realidad, de dejar de seguir viviendo como si, y recibiera a cambio modificaciones tan significativas en sus relaciones que le cambiaron la vida",Memorias
"Por eso, su escritura está llena de momentos de temor y temblor, que son los signos que señalan el presentarse de la experiencia mística",Memorias
Basta leer su obra en clase para comprobarlo año tras año,Memorias
"El temor y el temblor se hacen insoportables cuando a Leonor le llega el momento de llevar al mercado la vida de su hijo primogénito, Juan Fernández de Hinestrosa",Memorias
"En el tiempo, es el momento en el que, estando en Santaella durante la epidemia de peste de  , el niño que tenía entonces doce años y cuatro meses acude a su madre para decirle que no hay quien vele esa noche a su hermano adoptivo Alonso, el joven que había llevado la peste a la villa y que de niño había sido recogido por Leonor durante el asalto de  a la judería de Córdoba",Memorias
"Pero incluso con el recurso a Dios, el diálogo nos deja temblando",Memorias
Informa de que el orden simbólico es de la madre,Memorias
Y consigue seguir viva,Memorias
"Ha logrado salvar la experiencia de una mujer cualquiera que es madre y asume tanto su condición de autora y administradora de la vida que de ella depende mientras depende, como la de garante del orden simbólico que ella misma enseña",Memorias
"Es un modo de reconocer y aprovechar el hueco, pequeño pero infinito, que cada ser humano que viene al mundo encuentra entre lo ya interpretado y lo por interpretar",Memorias
El pensamiento de una época se queda por detrás del presente cuando ignora el pensamiento de las mujeres,Memorias
"Un texto una especie de epitafio que es la mediación que ella encontró para hacer, de lo personal, algo político, ya que lo personal no es inmediatamente político sino que necesita de la mediación para llegar a serlo",Memorias
"La Trinidad es un misterio que, libremente interpretado, evoca la genealogía femenina y materna la abuela, la madre, la hija, historia cierta y triángulo relacional de cada vida",Memorias
Le ayuda a hacer impensable la violencia contra ella,Memorias
Le ayuda a estar en lo público tan a gusto como en casa,Memorias
"En otras palabras, le suelta el deseo, el deseo que ella va a hacer realidad en su tiempo",Memorias
Leonor heredó muchos delitos del pasado,Memorias
"La escritura le redimió y, de este modo, le permitió hacer en su vida un nuevo inicio, un inicio consistente en ganarse el amor, la confianza y la amistad política de la reina Catalina de Lancaster hija de Constanza de Castilla, una de sus madrinas y compañeras de infanciad y del rey Enrique el Doliente",Memorias
"Es así como escribió una autobiografía que, además de salvarla a ella, ha salvado el desgaste del tiempo y seguimos leyendo con emoción en la actualidad una obra que cura, que salva, aunque esta última palabra sea casi indecible hoy por abusos históricos cometidos contra ella",Memorias
"Son modos de decir que su escritura, en el caso de las dos autoras, desbarató algo entonces acomodado, encontrando para la historia un nuevo inicio",Memorias
"De las tres, aunque de modos distintos, se suele decir que hicieron cosas que hasta entonces solo habían sido hechas por hombres aunque esto entre en contradicción con lo del primer autor de Francia, o que fueron protagonistas de la historia pero ¿no son siempre las mujeres y los hombres protagonistas de la       historia?",Memorias
Empezó el poema en el momento en el que la tristeza del exilio y la desesperación de la guerra civil fueron desplazadas por la risa,Memorias
"No es raro entre mujeres que la risa señale y acompañe el comparecer de lo simbólico, como si la risa fuera un pasaje a otra cosa, a lo que viene después del nombrar, a lo que ella siente cuando las palabras, las cosas y su cuerpo coinciden",Memorias
"Y el placer le lleva, con la escritura, a la luz, a la luz de un nuevo inicio",Memorias
La presencia de lo sobrenatural es constante en El poema de Juana de Arco,Memorias
"En el poema , la palabra recurrente para narrar el acontecimientoJuana es milagro, y todo el texto es un esfuerzo para historiar el milagro, para ponerlo en palabras que pudieran ser acogidas por la escucha, la historiografía y la memoria de su tiempo",Memorias
Ella lo hace ante los ojos de todos,Memorias
Ha escrito Bianca Garavelli que Cristina parte de su vivencia personal para luego ampliar el horizonte hasta comprender la historia,Memorias
"Pero de este modo añade se incluye a sí misma en un vasto movimiento cósmico, se hace parte del milagro de Juana de Arco y asume la autoridad para hablar de él",Memorias
"La Doncella de Orleans irrumpe en la historia y en el relato histórico de Cristina de pizán como una enviada divina algo alucinada alucinar viene de luz, con su a acumulativa que desplaza la historia desde el lugar podrido de las guerras fratricidas e interminables hasta un lugar distinto, femenino, ordenado en un sentido nuevo por una lengua femenina y materna",Memorias
"Al devolver la memoria histórica al nacimiento, Cristina de pizán la rescata a la posibilidad del amor",Memorias
La reapertura de la historia a la posibilidad del amor anuncia la redención de uno o más delitos del pasado,Memorias
"La función textual subsidiaria de apelación, concluye Barbara Hinger que expresa el concepto de alteridad dentro de la construcción de una identidad femenina, podría tal vez considerarse un rasgo definitorio de autobiografías escritas por mujeres",Memorias
"La apertura a lo otro está en el cuerpo de mujer y estas autoras la llevan a sus textos, textos que no son, por tanto, narcisistas aunque sean autobiográficos sino que expresan un sentido de la precedencia de lo otro en muchas vidas femeninas que no es ajeno a la comparecencia del Dios de las mujeres",Memorias
"Fue doncella de cámara de la reina Isabel de Hungría, hija del emperador Segismundo, que estaba casada con el duque Alberto V de Austria, rey de Romanos y de Hungría",Memorias
"Las Memorias o Denkwürdigkeiten de Helene Kottanner narran la historia de las vicisitudes que se sucedieron en Hungría entre  y  en torno a la sucesión al trono, vicisitudes en las que ella tuvo un papel decisivo junto a la reina Isabel",Memorias
Sus Denkwürdigkeiten son la primera autobiografía femenina conocida escrita en lengua alemana,Memorias
Las vidas y los textos de Leonor López de Córdoba y de Helene Kottanner tienen puntos interesantes en común,Memorias
"El deseo de decir la historia partiendo de sí y valiéndose de su propia experiencia como fuente principal, es el más llamativo",Memorias
"Las dos la desplazaron llevando el amor y la amistad, habitualmente entendidas como relaciones privadas, al gobierno de sus respectivas monarquías",Memorias
"Se sirvieron para ello de la figura de valida o mujer de confianza de la reina, que lo es cuando sabe convertir la amistad entre mujeres en amistad política",Memorias
"Mediante la amistad política, consiguieron llevar el hecho íntimo del nacimiento del hijo de la reina un hecho, el nacimiento, que modifica todo lo que encuentra al punto crucial de las decisiones sobre el poder político en sus respectivas monarquías",Memorias
"Leonor López de Córdoba logró que la reina Catalina de Lancaster se embarazara de un niño, el futuro Juan II de Castilla, que sería el primer rey de Castilla que descendía de las dos dinastías que habían hecho una guerra civil por el trono en el siglo XIV y que con él se reconciliaron, redimiendo a su presente del delito que es toda guerra civil",Memorias
"Las coronas son devueltas a su lugar originario y comienzan las intrigas por la sucesión al trono, centradas en que la reina viuda se case con el rey de Polonia Wladislav",Memorias
"Helene tiene miedo, vacila, reflexiona, reza mucho y, finalmente, cuando siente que ha llegado la hora, acepta la orden",Memorias
Una parte importante de la nobleza no le reconoce porque el país está en guerra con los turcos,Memorias
"Durante el viaje, Helene se hace cargo de la corona y del niño",Memorias
"La corona la custodian ella y la reina debajo de la paja de la cuna del niño que todavía no dormía sobre plumas, con una cuchara larga encima, de las que usaban para hacer las papillas infantiles, para evitar sospechas",Memorias
"El niño cuenta Helene sostuvo firme la cabeza como si tuviera un año, aunque contaba solo doce semanas de edad, y lloró furiosamente, también como si tuviera un año",Memorias
Es considerado rey de Bohemia desde esa fecha,Memorias
"Al concluir la ceremonia de coronación del niño, Helene Kottanner explica que pidió a la reina recompensa por sus servicios",Memorias
"Isabel le prometió que, si todo acababa bien, la elevaría a ella y a toda su familia",Memorias
"Cuando la historia narrada nace del intento de expresar la experiencia vivida, no de su elaboración en condiciones controlables, hace pienso escritura femenina y es historia viviente",Memorias
K,Memorias
"Imágenes  Plano del barrio o collación de Santa María o de la mezquita, de la Ciudad de Córdoba, en la época de Leonor López de Córdoba",Memorias
"En estas casas se hizo en el siglo XVIII el Hospital Salazar, hoy facultad de Filosofía y letras de la Universidad de Córdoba",Memorias
"La figura de Cristo sufriente y llagado ha inspirado la espiritualidad, y especialmente, el sentimiento de piedad humana de muchas mujeres de la europa bajomedieval y moderna por ejemplo, de Teresa de Jesús",Memorias
Ella se refiere a este culto como una novedad en su ambiente,Memorias
La primera capilla de la nave de la izquierda es la de la Trinidad,Memorias
"Su bóveda tiene una espléndida combinación de nervios en forma de estrella la estrella evoca uno de los nombres de la Virgen María, Stella matutina o estrella de la mañana, es decir, la aurora, que en la antigüedad romana era denominada Mater matuta, o sea madre alba o aurora, madre que trae la luz y da a luz",Memorias
"En ella se conserva, entre otros, el sepulcro de Leonor López de Córdoba",Memorias
La lápida es de  sus restos fueron trasladados junto a la entrada a la capilla,Memorias
"Capilla de la Trinidad, Real iglesia conventual de San pablo de Córdoba",Memorias
"Leonor López de Córdoba trasladó aquí los restos de su padre, hombre de confianza del rey Pedro I de Castilla, mandado matar por su sucesor, Enrique II de Trastamara, en",Memorias
Leonor cuenta en sus Memorias cómo presenció a los siete años este hecho terrible en la plaza de San Francisco de Sevilla,Memorias
"Esta capilla, fundada en  por Leonor López de Córdoba, fue reformada por sus descendientes en el siglo XVIII, si bien, conserva muchos elementos góticos originales",Memorias
"Este bello palacio, cuidadosamente restaurado por la comunidad de clarisas de Astudillo, fue edificado contiguo al convento en el que estuvo enterrada su fundadora María de padilla",Memorias
Fue el de un protocolo del siglo XIX que regestaba el archivo completo de la hija de Leonor López de Córdoba y sus descendientes,Memorias
Serie Mujeres en la historia httpwww,Memorias
En el contexto de la campaña contra Aragón,Memorias
"Muchos de los historiadores e historiadoras que han tratado la figura de Leonor, han discutido sobre el tipo de muerte más o menos deshonrosa que el rey le dio a su padre",Memorias
"Se ha especulado sobre el uso por Leonor del número siete entre otros para poner en palabras ciertos sentidos de su memoria autobiográfica en este caso esta clave coincide con el sucederse de los acontecimientos Mar Cortés Timoner, Madres y maestras espirituales,",Memorias
"Ha estudiado este sueño Jacques Joset, Cuatro sueños más en la literatura medieval española Berceo, un sueño anónimo del siglo XVI, el Arcipreste de Talavera, doña Leonor López de Córdoba , South Carolina Review",Memorias
Madrid,Memorias
"Leonor había pedido, con éxito, a la reina que era reticente a ello que destinase los fondos de las campañas de guerra contra el reino de Granada a las luchas de Fernando de Antequera por el trono de Aragón Ana Echevarría, Catalina de Lancaster,",Memorias
"Empezó a comprarlas en  Archivo Ducal de Medinaceli, leg",Memorias
"El manuscrito más antiguo de la Crónica de Juan II de Alvar García de Santa María, que perteneció a Isabel la Católica y se conserva en la Institución Colombina de Sevilla sig",Memorias
", para la versión de Fernán pérez de Guzmán",Memorias
Se incluyeron en ellos un total de  documentos,Memorias
La Colección Vázquez Venegas estaba hace unos años en la biblioteca de la Real Academia de Córdoba,Memorias
Hoy está en el Archivo de la Catedral de Córdoba,Memorias
"Ella los relata con dolor y detalle en su testamento de  RAH, Col",Memorias
"Ofrezco una edición crítica de las Memorias de Leonor López de Córdoba en la Biblioteca Virtual de investigación Duoda, httpwww",Memorias
K,Memorias
La expresión historia verdadera tiene en nuestro tiempo una importante genealogía femenina,Memorias
Hay una laguna en el original,Memorias
CV,Vita
Trabajamos por traer a nuestras manos los gozos humanos y ellos no quieren venir,Arboleda
